objective,L,variant,target_kind,post_offset,winsor_pct,drop_rule,spread_tercile,n_events,n_firms,n_quarters,sd_signal,median_spread_bp,dlog_per_1sd,pct_per_1sd,bp_per_1sd_at_median,fm_slope,fm_t,fm_p,fm_nq,pic_mean,pic_t,pic_p,pic_nq
ridge_delta_v3,2,loo_2024Q2,log,63,0.0,leave_out_2024Q2,all,830,90,13,2.0177820696588946,284.2099,-0.01815686080782186,-0.01799301813208809,-5.113793884018943,-0.008998425092998903,-1.8094543653919324,0.09776029133820655,12,-0.05414603202630321,-1.4177504032235506,0.18396352835449897,12
ridge_delta_v3,2,loo_2024Q3,log,63,0.0,leave_out_2024Q3,all,835,90,13,2.012165590610958,284.2069,-0.022961951367978056,-0.022700332018689373,-6.4515909920024495,-0.011411561491321434,-2.052119260975152,0.06473886999285505,12,-0.07229474421684791,-1.6911322815024987,0.11891379710061352,12
ridge_delta_v3,2,loo_2024Q4,log,63,0.0,leave_out_2024Q4,all,836,90,13,2.012899251478621,284.33054999999996,-0.02549164923687088,-0.025169480489489415,-7.156452230790793,-0.012664145618885498,-2.3634753138217612,0.03758252121584165,12,-0.08283056256516626,-2.0181552414756614,0.06863329170322362,12
ridge_delta_v3,2,loo_2025Q1,log,63,0.0,leave_out_2025Q1,all,837,90,13,2.0182268204443456,281.73349999999994,-0.019914367130830002,-0.01971738587449756,-5.5550481332727575,-0.00986725918469636,-1.8468162982037895,0.09182770825695476,12,-0.06819276420760984,-1.601891514725306,0.1374837344367207,12
ridge_delta_v3,2,loo_2025Q2,log,63,0.0,leave_out_2025Q2,all,835,87,13,2.03078828513785,284.2069,-0.029305583033489877,-0.028880338572092823,-8.207991496524928,-0.014430644123742625,-3.285769026053182,0.007259041464262176,12,-0.09411511134971505,-2.6723237385751215,0.021703744918723723,12
ridge_delta_v3,2,loo_2025Q3,log,63,0.0,leave_out_2025Q3,all,895,90,13,2.006841224413384,282.171,-0.022658583360300685,-0.022403805589468195,-6.32170422698583,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,loo_2025Q4,log,63,0.0,leave_out_2025Q4,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,loo_2026Q1,log,63,0.0,leave_out_2026Q1,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,loo_2026Q2,log,63,0.0,leave_out_2026Q2,all,900,90,14,2.0035394517886096,281.95224999999994,-0.0226213041329532,-0.022367360879371634,-6.30652772650081,-0.011290670674220364,-2.206639278897647,0.047566608662981166,13,-0.07182035022921518,-1.8262578930462046,0.09277974153780516,13
ridge_delta_v3,2,spread_pre_tercile,log,63,0.0,none,low,312,53,14,1.6460870614997212,176.80885000000006,-0.022513079659593517,-0.022261551376377975,-3.9360392980733083,-0.013676724752992253,-1.2688438058025984,0.2285569223152606,13,-0.027126844471821072,-0.37678007264982316,0.7129150980663873,13
